Inspecting matches table...
Table found → dumping data...
 id  | stake_amount | num_players |  status  | p1_user_id | p2_user_id | p3_user_id | winner_user_id |          created_at           |          finished_at          
 118 |            0 |           2 | FINISHED |          3 |          2 |            |                | 2025-11-09 11:43:50.071874+00 | 
 117 |            0 |           2 | FINISHED |          3 |            |            |                | 2025-11-09 10:38:54.875027+00 | 2025-11-09 10:39:57.567846+00
 116 |            0 |           2 | FINISHED |          1 |            |          3 |                | 2025-11-09 10:07:09.192904+00 | 
 115 |            0 |           3 | FINISHED |          1 |          2 |          3 |                | 2025-11-09 09:56:18.783901+00 | 
 114 |            0 |           3 | FINISHED |          1 |          2 |          3 |                | 2025-11-09 09:25:19.585738+00 | 
 113 |            0 |           3 | FINISHED |          1 |          2 |          3 |                | 2025-11-09 09:16:48.938328+00 | 
 112 |            0 |           2 | FINISHED |            |            |          1 |                | 2025-11-09 06:16:55.980909+00 | 2025-11-09 06:17:53.674315+00
 111 |            0 |           2 | FINISHED |          3 |            |          1 |                | 2025-11-09 06:02:58.210787+00 | 
 108 |            0 |           3 | FINISHED |          1 |          2 |          3 |                | 2025-11-09 05:49:02.644806+00 | 
 107 |            0 |           3 | FINISHED |          1 |          2 |          3 |                | 2025-11-09 05:24:54.557997+00 | 
 106 |            0 |           2 | FINISHED |            |            |          1 |                | 2025-11-09 05:13:17.403452+00 | 2025-11-09 05:15:26.254762+00
 105 |            0 |           3 | FINISHED |          1 |          2 |          3 |                | 2025-11-08 10:48:51.75069+00  | 
 104 |            0 |           2 | FINISHED |          1 |            |            |                | 2025-11-07 22:13:36.845646+00 | 2025-11-07 22:15:00.047796+00
 103 |            0 |           2 | ACTIVE   |            |          3 |          2 |                | 2025-11-07 22:05:46.230939+00 | 
 102 |            0 |           2 | FINISHED |          1 |            |            |                | 2025-11-07 21:44:43.501669+00 | 2025-11-07 21:46:18.760374+00
 101 |            0 |           2 | ACTIVE   |            |          2 |          3 |                | 2025-11-07 21:32:55.335745+00 | 
 100 |            0 |           2 | FINISHED |            |            |          1 |                | 2025-11-07 21:19:27.869921+00 | 2025-11-07 21:21:48.176636+00
  99 |            0 |           2 | FINISHED |            |          2 |            |                | 2025-11-07 21:05:17.341172+00 | 2025-11-07 21:05:51.830857+00
  98 |            0 |           2 | FINISHED |          2 |            |            |                | 2025-11-07 21:03:51.217986+00 | 2025-11-07 21:05:01.444016+00
  97 |            0 |           2 | FINISHED |            |          2 |            |                | 2025-11-07 20:41:50.871639+00 | 2025-11-07 20:42:54.403793+00
  96 |            0 |           2 | ACTIVE   |            |          3 |          2 |                | 2025-11-07 20:35:46.434154+00 | 
